"ciudad","actividad_industrial","usa_agua_proceso","tratamiento_aguas","costo_mantenimiento_tratamiento","fuente_agua","volumen_consumido_m3","costo_consumo_mensual","numero_empleados"
"Quito","farmacéutica","sí","sí",2404.96,"red municipal",807.9,862.05,73
"Cuenca","química","sí","no",NA,"red municipal",957.4,965.9,92
"Guayaquil","textil","sí","sí",1892.32,"red municipal y pozo",1104.6,859.78,115
"Ambato","plásticos","sí","no",NA,"red municipal y pozo",955.4,1077.58,95
"Quito","farmacéutica","sí","sí",906.76,"red municipal y pozo",961.3,843.94,83
"Cuenca","química","sí","sí",471.77,"red municipal",779.6,831.75,77
"Cuenca","textil","no","sí",1842.81,"red municipal y río",853.2,810.64,84
"Ambato","procesamiento de alimentos","no","sí",805.48,"pozo",728.4,638.25,81
"Cuenca","química","sí","no",NA,"red municipal",986.6,1110.49,85
"Manta","metalmecánica","sí","sí",894.57,"red municipal",945.2,844.16,105
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",870.2,896.97,93
"Manta","procesamiento de alimentos","sí","no",NA,"pozo y río",629.6,494.58,79
"Manta","farmacéutica","no","sí",1750.96,"río",749.1,644.21,66
"Ambato","química","no","no",NA,"red municipal",825.6,745.88,78
"Cuenca","química","sí","no",NA,"río",885.2,791.46,66
"Cuenca","química","sí","sí",1908.69,"red municipal y río",703.9,720.95,92
"Cuenca","farmacéutica","no","sí",2384.06,"río",514.5,556.98,84
"Manta","farmacéutica","no","no",NA,"río",722.5,478.14,85
"Guayaquil","procesamiento de alimentos","sí","sí",1336.39,"red municipal y río",735.4,562.15,89
"Quito","procesamiento de alimentos","sí","no",NA,"pozo",745.5,795.28,84
"Guayaquil","textil","sí","sí",450.78,"red municipal y pozo",948.3,751.11,79
"Quito","química","sí","sí",791.94,"red municipal",861.9,934.82,91
"Loja","química","sí","sí",3818.23020980146,"red municipal",2623.20541923004,2705.08605432038,306
"Loja","textil","sí","no",NA,"red municipal",847.6,736.43,83
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",802.1,821.06,99
"Loja","plásticos","sí","no",NA,"red municipal y río",2364.84573331848,2227.54029498487,242
"Loja","procesamiento de alimentos","sí","no",NA,"pozo",698.2,777.46,84
"Loja","procesamiento de alimentos","sí","sí",522.58,"pozo",840.2,887.3,106
"Cuenca","textil","no","sí",1413.01,"red municipal y pozo",779.3,750.28,100
"Quito","química","sí","no",NA,"red municipal y pozo",731.5,809.34,86
"Ambato","química","sí","sí",1682.16,"río",846.2,941.98,73
"Cuenca","textil","sí","sí",1511,"pozo",1067.4,1123.72,92
"Quito","farmacéutica","sí","sí",1133.95,"red municipal y río",924.6,821.12,72
"Loja","química","no","sí",2284.63,"red municipal",687.8,711.44,83
"Quito","metalmecánica","sí","sí",1085.74,"red municipal",802.4,781.75,96
"Manta","textil","sí","no",NA,"red municipal y pozo",863.8,641.11,90
"Loja","química","sí","sí",1147.34,"red municipal y pozo y río",747.3,722.14,98
"Guayaquil","química","sí","sí",1278.84,"red municipal y pozo y río",792.4,573.95,92
"Cuenca","metalmecánica","no","sí",929.21,"red municipal y pozo",619.8,623.87,104
"Cuenca","textil","sí","no",NA,"red municipal",941.3,1079.76,85
"Quito","química","no","sí",1845.72,"red municipal y pozo y río",635.6,597.62,96
"Quito","plásticos","sí","no",NA,"red municipal",518.5,560.5,87
"Loja","procesamiento de alimentos","sí","no",NA,"red municipal",812.1,726.7,71
"Quito","textil","sí","sí",1539.96,"pozo y río",867.8,870.25,83
"Loja","procesamiento de alimentos","sí","no",NA,"río",1041.6,890.36,90
"Ambato","procesamiento de alimentos","no","no",NA,"red municipal",801.9,788.88,94
"Guayaquil","metalmecánica","no","sí",1418.11,"red municipal y pozo y río",687.9,488.61,81
"Loja","plásticos","sí","no",NA,"pozo y río",838.1,928.09,77
"Cuenca","plásticos","sí","sí",2066.9,"red municipal",642.5,612.72,66
"Quito","textil","sí","no",NA,"red municipal y pozo y río",729.8,804.87,74
"Loja","procesamiento de alimentos","sí","no",NA,"río",839,761.43,95
"Cuenca","procesamiento de alimentos","no","no",NA,"red municipal",424,373.65,76
"Loja","química","sí","no",NA,"red municipal y pozo",847.5,790.19,81
"Guayaquil","textil","no","sí",1071.35,"red municipal y río",997.2,697.23,94
"Quito","textil","sí","no",NA,"red municipal y río",655.3,638.46,74
"Quito","plásticos","sí","sí",1781.13,"red municipal y pozo",828.6,743.59,95
"Quito","textil","sí","sí",2556.64180084459,"red municipal",2754.56662854552,2405.82099324116,383
"Cuenca","metalmecánica","no","sí",1292.17,"pozo",640.5,607.18,84
"Cuenca","química","sí","no",NA,"red municipal",931.5,1004.16,93
"Loja","procesamiento de alimentos","sí","sí",1181.06,"red municipal",790.7,726.7,88
"Loja","metalmecánica","sí","sí",1463.52,"río",914.4,884.36,87
"Guayaquil","textil","sí","no",NA,"red municipal y río",730.5,656.55,95
"Manta","farmacéutica","sí","sí",1800,"pozo",805.1,739.87,84
"Cuenca","plásticos","sí","no",NA,"red municipal y pozo",845.2,751.27,78
"Quito","textil","sí","no",NA,"red municipal",1016.4,1107.69,85
"Quito","farmacéutica","no","sí",2015.53,"pozo y río",691.2,657.58,92
"Guayaquil","plásticos","sí","sí",1152.75,"red municipal y río",916.5,723.72,90
"Ambato","metalmecánica","no","no",NA,"pozo y río",800.9,776.78,83
"Cuenca","farmacéutica","sí","sí",2079.71,"red municipal y pozo",586.7,663.29,66
"Ambato","farmacéutica","sí","no",NA,"red municipal y río",1016.1,1061.9,81
"Manta","metalmecánica","sí","sí",1658.19,"red municipal y pozo",866.7,710.54,83
"Guayaquil","metalmecánica","sí","sí",1233.99,"red municipal y río",963.4,646.13,92
"Ambato","procesamiento de alimentos","sí","sí",1786.68,"pozo y río",818.6,874.38,103
"Cuenca","química","sí","sí",1912.29,"río",1106.9,1220.05,79
"Loja","farmacéutica","sí","sí",2282.31,"red municipal",956.1,1075.34,77
"Guayaquil","plásticos","no","no",NA,"red municipal",692.8,622.86,66
"Cuenca","farmacéutica","sí","no",NA,"pozo",743.4,806.82,98
"Quito","plásticos","no","sí",1869.71,"red municipal y pozo",739.1,662.38,88
"Loja","plásticos","sí","sí",1645.09,"pozo",890,984.57,90
"Ambato","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",823.2,860.93,98
"Quito","textil","sí","no",NA,"red municipal y río",993,866.68,92
"Cuenca","textil","sí","sí",1488.31,"red municipal y pozo",760.8,744.18,79
"Guayaquil","procesamiento de alimentos","no","sí",1039.47,"red municipal y pozo",761.6,619.3,88
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",1001.7,952.27,88
"Ambato","plásticos","sí","sí",2200.39,"red municipal",849.4,911.75,89
"Cuenca","textil","sí","no",NA,"red municipal",937.5,1027.51,82
"Loja","química","sí","sí",1292.14,"red municipal y pozo",939.5,1078.86,87
"Quito","textil","sí","no",NA,"red municipal",898.1,982.74,71
"Ambato","farmacéutica","sí","no",NA,"red municipal y pozo",1004,1104.64,89
"Guayaquil","textil","sí","sí",1650.85,"red municipal y pozo",752.6,556.18,93
"Guayaquil","procesamiento de alimentos","sí","no",NA,"río",2061.2552078811,1309.25749688566,250
"Quito","química","sí","no",NA,"red municipal",849.5,889.01,85
"Cuenca","plásticos","sí","no",NA,"pozo",1041.8,1038.28,95
"Quito","farmacéutica","sí","sí",1645.09,"red municipal",784,846.25,93
"Quito","metalmecánica","sí","sí",875.41,"río",656.7,748.73,72
"Manta","farmacéutica","sí","no",NA,"pozo",737.4,591.94,85
"Cuenca","textil","sí","sí",2067.42,"pozo y río",917.5,936.14,90
"Loja","farmacéutica","sí","no",NA,"red municipal y río",911.4,920.84,97
"Quito","textil","sí","sí",1778.73,"red municipal",835.1,904.17,87
"Quito","procesamiento de alimentos","sí","sí",1003.28,"red municipal",816.4,828.57,82
"Loja","plásticos","no","sí",1144.45,"pozo y río",679.6,714.57,102
"Quito","metalmecánica","sí","no",NA,"red municipal y río",2298.27813418284,1793.63558299432,231
"Guayaquil","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",700.4,572.16,104
"Quito","procesamiento de alimentos","sí","sí",1557.04,"red municipal y pozo y río",795.2,790.85,72
"Manta","farmacéutica","no","sí",1582.48,"pozo",784.3,616.28,92
"Loja","metalmecánica","sí","no",NA,"río",936.6,815.85,86
"Ambato","textil","sí","no",NA,"pozo",700.2,707.14,74
"Quito","textil","no","sí",1778.03,"red municipal y pozo",722.9,733.76,93
"Cuenca","procesamiento de alimentos","sí","sí",1993.52,"red municipal",556.5,571.74,93
"Ambato","plásticos","sí","no",NA,"red municipal",878.5,966.01,87
"Ambato","metalmecánica","sí","no",NA,"red municipal y pozo",747.5,674.71,89
"Manta","procesamiento de alimentos","sí","no",NA,"río",951.5,743.58,103
"Cuenca","química","no","sí",1347.6,"red municipal",852,743.33,73
"Manta","plásticos","sí","no",NA,"red municipal",603.2,417.09,85
"Guayaquil","farmacéutica","sí","sí",1230.54,"red municipal y río",1054,688.62,88
"Quito","procesamiento de alimentos","sí","sí",959.44,"red municipal",814.5,741.13,85
"Guayaquil","procesamiento de alimentos","sí","no",NA,"red municipal",845.1,746.7,91
"Ambato","procesamiento de alimentos","sí","sí",1552.56,"red municipal y río",776.5,879.84,101
"Guayaquil","farmacéutica","no","sí",1339.01,"red municipal y pozo",758.6,634.08,96
"Loja","farmacéutica","no","sí",1958.4,"río",620.4,573.31,103
"Ambato","farmacéutica","sí","sí",1824,"red municipal y pozo",979.8,900.57,93
"Manta","metalmecánica","sí","sí",975.75,"río",752,579.91,79
"Cuenca","procesamiento de alimentos","no","no",NA,"río",887.7,956.58,91
"Ambato","química","sí","sí",1221.83,"río",978.7,856.23,76
"Quito","textil","sí","no",NA,"red municipal",875.2,906.13,91
"Loja","procesamiento de alimentos","sí","sí",2152.59,"pozo",723.3,780.7,84
"Guayaquil","farmacéutica","sí","sí",1922.28,"pozo",979.7,820.6,82
"Loja","procesamiento de alimentos","sí","sí",783.63,"río",861,975.42,70
"Quito","procesamiento de alimentos","sí","no",NA,"pozo y río",971.9,919.51,102
"Cuenca","textil","sí","sí",1495.42,"red municipal",917.7,845.47,81
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal y río",912.5,832.37,86
"Ambato","textil","sí","sí",967.85,"red municipal",983.3,1077.16,88
"Quito","plásticos","sí","sí",1770.75,"red municipal y pozo",830.5,918.86,87
"Guayaquil","plásticos","sí","sí",1552.4,"río",854.2,655.32,77
"Cuenca","farmacéutica","sí","sí",976.22,"red municipal",672.4,771.62,73
"Cuenca","textil","no","sí",2079.06,"pozo y río",574.4,558.47,90
"Cuenca","metalmecánica","sí","no",NA,"pozo",829.3,938.23,86
"Ambato","metalmecánica","sí","sí",1705.34,"red municipal",606,618.08,85
"Guayaquil","procesamiento de alimentos","sí","sí",1797.78,"red municipal y pozo",730.2,541.88,78
"Quito","farmacéutica","no","sí",1453.7,"red municipal y río",626.3,603.54,75
"Manta","química","sí","sí",2454.35521926839,"pozo y río",1877.47567090045,1413.11558085045,187
"Ambato","química","sí","sí",1145.37,"pozo",874.7,884.77,83
"Guayaquil","química","sí","no",NA,"red municipal",843.3,708.02,88
"Loja","textil","sí","sí",1767.44,"pozo",770.9,659.01,81
"Quito","farmacéutica","sí","no",NA,"red municipal",832.6,779.14,77
"Guayaquil","textil","sí","sí",983.19,"red municipal y pozo",857.6,758.28,87
"Ambato","textil","no","sí",1717.9,"río",600.3,587.15,89
"Manta","farmacéutica","no","sí",1205.23,"pozo y río",518.5,338.41,101
"Loja","química","no","sí",1462.38,"red municipal",633.6,645.11,97
"Quito","química","no","no",NA,"red municipal y pozo",657.5,563.98,83
"Quito","plásticos","sí","no",NA,"red municipal y pozo",1005.5,933.85,91
"Loja","metalmecánica","sí","no",NA,"río",956.1,958.61,77
"Manta","química","sí","no",NA,"río",940.4,697.48,86
"Loja","farmacéutica","sí","sí",1144.53,"red municipal y pozo y río",787.6,737.2,84
"Loja","farmacéutica","sí","no",NA,"río",906.6,955.74,91
"Manta","procesamiento de alimentos","sí","no",NA,"pozo y río",655.1,566.71,101
"Loja","metalmecánica","sí","sí",1391.06,"pozo y río",965.1,1029.82,95
"Ambato","plásticos","sí","no",NA,"red municipal y río",947.6,1045.5,98
"Loja","plásticos","sí","no",NA,"red municipal",595.5,515.47,88
"Quito","plásticos","sí","no",NA,"red municipal",880.6,982.72,72
"Loja","metalmecánica","sí","sí",2064.72,"pozo y río",784.6,728.75,89
"Ambato","textil","sí","sí",2338.28,"red municipal y pozo",674.8,767.63,69
"Guayaquil","textil","sí","sí",1188.05,"red municipal",835,745.31,76
"Loja","procesamiento de alimentos","sí","sí",2226.53,"red municipal y río",954.5,838.37,105
"Loja","metalmecánica","sí","sí",1925.24,"red municipal",595.3,630.01,65
"Ambato","plásticos","sí","no",NA,"red municipal",864.5,768.65,74
"Guayaquil","textil","sí","sí",1257.75,"río",896.9,749.35,84
"Cuenca","química","sí","sí",1937.82,"red municipal y pozo",983.6,1091.35,88
"Cuenca","química","sí","sí",1068.69,"red municipal",986.5,1042.27,79
"Quito","plásticos","sí","sí",1700.65,"red municipal y río",821,710.49,82
"Quito","química","sí","no",NA,"pozo",770.1,779.22,87
"Quito","procesamiento de alimentos","no","sí",504.71,"pozo",702.8,675.51,93
"Cuenca","textil","sí","sí",890,"pozo",573.3,612.8,89
"Cuenca","plásticos","sí","sí",748.38,"red municipal",885,893.47,85
"Ambato","metalmecánica","sí","no",NA,"red municipal y pozo",856,854.22,96
"Loja","procesamiento de alimentos","sí","sí",1733.77,"red municipal y río",847.9,869.41,74
"Quito","farmacéutica","sí","sí",1167.24,"pozo",806.1,917.25,74
"Ambato","química","sí","sí",1224.74,"red municipal y pozo",607.5,532.21,79
"Loja","farmacéutica","sí","sí",1768.52,"red municipal y río",1031.7,1082.3,83
"Ambato","plásticos","sí","sí",2161.59,"pozo",1008.3,1135.97,90
"Manta","química","sí","no",NA,"red municipal y pozo",924.5,612.92,97
"Quito","farmacéutica","sí","no",NA,"red municipal y pozo",998.2,909.59,100
"Quito","farmacéutica","sí","sí",1439.45,"red municipal y pozo",716.4,626.25,92
"Ambato","farmacéutica","sí","no",NA,"red municipal y río",949.3,906.57,96
"Manta","metalmecánica","sí","sí",765.32,"red municipal",853.8,642.47,95
"Loja","farmacéutica","sí","sí",1837.81,"pozo",725.4,753.08,82
"Quito","textil","sí","sí",1268.31,"red municipal y pozo",854.6,974.27,104
"Quito","química","no","sí",1325.97,"red municipal y pozo y río",901.4,935.4,92
"Loja","plásticos","sí","sí",1680.62,"red municipal y pozo",826.2,803.02,76
"Ambato","metalmecánica","sí","no",NA,"pozo",769.8,706.77,77
"Ambato","textil","sí","no",NA,"red municipal y pozo",822.8,931.72,94
"Cuenca","metalmecánica","sí","sí",2109.77,"pozo",697.9,683.89,81
"Quito","farmacéutica","no","sí",627.83,"pozo y río",540.8,511.59,85
"Manta","farmacéutica","sí","sí",1438.07,"río",1031.3,734.88,76
"Manta","plásticos","sí","no",NA,"red municipal",902,819.24,88
"Ambato","procesamiento de alimentos","sí","no",NA,"pozo",689.5,612.54,89
"Loja","farmacéutica","sí","no",NA,"red municipal",939.1,832.11,105
"Ambato","procesamiento de alimentos","sí","sí",1790.23,"red municipal y pozo y río",866.5,983.07,75
"Cuenca","plásticos","no","sí",1552.87,"red municipal y pozo y río",529,452.63,72
"Ambato","metalmecánica","sí","sí",364.84,"pozo y río",847.5,753.2,74
"Quito","química","sí","no",NA,"red municipal",926.7,861.57,103
"Quito","metalmecánica","sí","no",NA,"río",884.3,827.3,84
"Loja","textil","sí","no",NA,"pozo y río",797.6,735.61,76
"Manta","plásticos","sí","sí",2126.59,"red municipal",951.6,846.64,77
"Guayaquil","farmacéutica","sí","no",NA,"red municipal",952,643.68,83
"Ambato","química","sí","sí",806.98,"red municipal y pozo",769.4,753.01,76
"Cuenca","procesamiento de alimentos","sí","sí",1447.32,"río",730.8,765.08,108
"Manta","procesamiento de alimentos","sí","sí",1527.65,"red municipal y pozo",848.6,555.72,75
"Guayaquil","plásticos","sí","sí",2411.84,"red municipal y pozo",1012.9,842.12,74
"Manta","procesamiento de alimentos","sí","no",NA,"pozo y río",863.7,638.69,94
"Quito","farmacéutica","sí","sí",1837.06,"red municipal",1013.9,969.9,99
"Quito","química","no","sí",2175.94,"red municipal",680.3,712.72,65
"Loja","química","sí","no",NA,"red municipal y río",983.4,885.36,82
"Manta","farmacéutica","no","sí",1324.3,"red municipal y río",500.2,391.29,88
"Manta","química","sí","sí",1738.35,"red municipal",1115.9,923.05,83
"Manta","farmacéutica","sí","no",NA,"río",543.7,496.05,61
"Manta","plásticos","no","no",NA,"pozo",333.6,294.78,90
"Manta","procesamiento de alimentos","sí","no",NA,"pozo",1034.2,757.16,84
"Ambato","metalmecánica","sí","no",NA,"red municipal",910.4,805.18,82
"Loja","farmacéutica","no","sí",1033.57,"red municipal",754.2,748.27,73
"Loja","farmacéutica","sí","sí",1136.95,"red municipal y pozo",835.1,890.12,72
"Quito","plásticos","sí","no",NA,"río",986.6,913.99,100
"Quito","procesamiento de alimentos","sí","sí",1004.25,"red municipal y pozo",781.1,864.18,76
"Loja","procesamiento de alimentos","no","no",NA,"red municipal",1422.23056828533,1146.66642275475,266
"Manta","farmacéutica","no","no",NA,"red municipal y pozo",733.6,487.05,86
"Loja","química","sí","sí",1573.42,"red municipal y pozo",1107,1056.8,91
"Ambato","farmacéutica","sí","no",NA,"pozo y río",733.1,721.79,93
"Guayaquil","química","sí","no",NA,"red municipal",972.8,864.86,93
"Guayaquil","farmacéutica","no","no",NA,"pozo y río",710.3,545.72,84
"Quito","plásticos","sí","no",NA,"red municipal",905,775.73,69
"Guayaquil","farmacéutica","sí","no",NA,"red municipal y pozo",771.9,636.03,78
"Loja","plásticos","no","sí",1669.64,"red municipal y pozo",610.3,606.6,86
"Ambato","procesamiento de alimentos","sí","sí",2089.31,"red municipal",787.5,838.87,83
"Quito","textil","sí","no",NA,"red municipal",888.4,865.27,86
"Quito","metalmecánica","sí","no",NA,"red municipal",763.8,714.82,82
"Guayaquil","procesamiento de alimentos","sí","sí",1371.5,"río",764.4,549.62,83
"Manta","plásticos","sí","sí",1981.44,"pozo",890.2,674.74,81
"Quito","química","no","sí",2098.02,"río",733.5,745.11,75
"Loja","textil","sí","no",NA,"pozo",799.9,681.13,75
"Quito","procesamiento de alimentos","sí","sí",1708.23,"red municipal",688.6,712.23,100
"Quito","textil","sí","sí",1830.62,"pozo y río",928.1,905.71,91
"Quito","textil","sí","sí",1042.02,"red municipal y pozo",808.8,911.49,90
"Manta","química","no","no",NA,"río",694.6,601.38,76
"Guayaquil","farmacéutica","sí","sí",1006.75,"red municipal",888,608.83,65
"Loja","plásticos","sí","sí",1408.13,"red municipal y pozo",832.4,740.61,76
"Cuenca","farmacéutica","sí","sí",914.69,"río",595.3,542.44,69
"Manta","plásticos","sí","sí",714.23,"red municipal",1020.8,778.62,85
"Loja","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",886.6,808.27,85
"Loja","metalmecánica","sí","sí",1104.75,"red municipal y pozo y río",1156.3,1141.59,87
"Ambato","farmacéutica","sí","no",NA,"red municipal y pozo",785.4,678.54,67
"Guayaquil","textil","sí","no",NA,"pozo y río",707.1,668.12,77
"Quito","farmacéutica","sí","sí",1129.09,"red municipal",971.8,1040.85,71
"Cuenca","metalmecánica","sí","sí",1347.72,"pozo",811.7,850.37,95
"Manta","metalmecánica","sí","sí",841.17,"red municipal y río",825.7,740.04,81
"Loja","textil","sí","sí",1996.45,"red municipal",641.2,704.86,80
"Ambato","procesamiento de alimentos","sí","sí",1118.49,"red municipal y pozo",770.3,816.06,88
"Loja","farmacéutica","sí","no",NA,"red municipal y pozo",789.5,808.35,86
"Loja","procesamiento de alimentos","sí","sí",264.75,"pozo y río",789.5,825.89,69
"Guayaquil","textil","no","sí",1484.89,"pozo",709.3,571.4,110
"Quito","química","sí","sí",1064.53,"red municipal",875.9,865.42,74
"Quito","química","sí","sí",1936.18,"red municipal y pozo",878.6,1007.05,85
"Quito","farmacéutica","sí","no",NA,"pozo y río",946.2,920.3,84
"Loja","farmacéutica","sí","sí",1089.16,"red municipal",712.1,807.58,74
"Quito","farmacéutica","sí","no",NA,"pozo y río",828.2,706.3,78
"Cuenca","metalmecánica","sí","sí",1130.41,"río",825.7,711.53,80
"Ambato","procesamiento de alimentos","sí","no",NA,"río",916,859.04,97
"Ambato","farmacéutica","no","sí",1938.33,"río",768.8,708.33,96
"Guayaquil","textil","no","no",NA,"red municipal",658.4,592.17,68
"Manta","química","sí","sí",1204.47,"red municipal y pozo",885.2,812.1,94
"Manta","textil","no","sí",1692.33,"red municipal y pozo",923.3,651.63,76
"Guayaquil","textil","sí","sí",1050.74,"red municipal",756.7,492.99,83
"Guayaquil","textil","sí","sí",1466.76,"pozo y río",982.5,791.38,76
"Cuenca","textil","sí","sí",494.15,"red municipal y pozo",872.1,952.25,71
"Loja","plásticos","sí","no",NA,"red municipal y pozo",822.5,764.76,68
"Quito","química","sí","sí",1277.71,"pozo",998.4,885.02,85
"Quito","química","sí","sí",1628.67,"red municipal y pozo",910.6,946.22,81
"Quito","textil","sí","sí",1631.6,"red municipal y pozo",859.7,885.84,83
"Quito","metalmecánica","no","no",NA,"red municipal y pozo",490.5,474.56,95
"Quito","procesamiento de alimentos","sí","no",NA,"red municipal y pozo y río",1016.7,959.59,84
"Manta","metalmecánica","sí","no",NA,"red municipal",964.4,866.92,93
"Quito","química","sí","sí",1839.82,"red municipal",1008.3,1059.69,74
"Cuenca","procesamiento de alimentos","no","sí",491.72,"pozo",548.2,584.04,79
"Manta","farmacéutica","sí","sí",917.35,"red municipal y pozo",1144.7,744.27,81
"Ambato","textil","sí","sí",3632.15570111489,"red municipal",1991.66794502391,2096.93571863627,360
"Manta","procesamiento de alimentos","sí","sí",1427.15,"red municipal y pozo",802.6,567.7,88
"Manta","procesamiento de alimentos","sí","no",NA,"red municipal",1072.5,863.27,84
"Guayaquil","plásticos","sí","sí",1392.16,"red municipal y pozo y río",960.7,900.93,86
"Loja","farmacéutica","sí","no",NA,"red municipal y pozo",808.1,868.73,82
"Guayaquil","plásticos","sí","sí",960.01,"pozo",797.8,596.79,65
"Quito","plásticos","sí","sí",5075.4311021869,"red municipal y pozo y río",1673.68141018588,1560.91251500195,320
"Guayaquil","química","sí","sí",1235.48,"red municipal",942.7,628.67,91
"Quito","metalmecánica","sí","no",NA,"red municipal",827.8,804.63,66
"Guayaquil","farmacéutica","sí","no",NA,"red municipal",659.1,518.7,77
"Manta","química","sí","no",NA,"pozo",983.1,676.14,91
"Ambato","metalmecánica","sí","sí",1845.86,"red municipal",725,743.7,79
"Manta","farmacéutica","no","sí",2891.71,"río",746.3,672.7,111
"Ambato","plásticos","no","sí",1238.47,"red municipal y pozo",900.7,836.94,98
"Loja","procesamiento de alimentos","no","no",NA,"red municipal",2270.0485104216,2263.74878701975,343
"Manta","textil","sí","sí",1632.31,"red municipal",926.4,700.46,61
"Ambato","química","sí","sí",1087.89,"red municipal y pozo",1012.4,1002.78,93
"Quito","plásticos","sí","no",NA,"red municipal",829.6,841.48,74
"Guayaquil","farmacéutica","no","sí",1469.07,"red municipal",897.7,658.51,108
"Quito","metalmecánica","no","sí",1722.98,"río",415.9,387.32,88
"Manta","química","sí","sí",1920.83,"red municipal",632,492.99,83
"Cuenca","metalmecánica","no","sí",1264.32,"red municipal y pozo",600.4,541.7,98
"Quito","plásticos","no","sí",1702.49,"red municipal y río",570.3,548.29,85
"Loja","química","sí","sí",1997.84,"pozo",891.7,893.87,81
"Quito","plásticos","sí","sí",1368.98,"red municipal y río",778.5,841.84,77
"Guayaquil","farmacéutica","sí","sí",1229.17,"red municipal y pozo",838.5,684.03,91
"Loja","metalmecánica","sí","sí",995.28,"red municipal",923.8,848.55,89
"Guayaquil","textil","sí","no",NA,"río",818.9,594.35,84
"Ambato","química","sí","no",NA,"red municipal",918.4,941.68,88
"Cuenca","textil","sí","no",NA,"red municipal y pozo",706.3,737.21,95
"Cuenca","procesamiento de alimentos","sí","no",NA,"río",1030.3,1128.48,84
"Ambato","química","no","sí",1463.58,"pozo",493.8,442.07,76
"Quito","plásticos","sí","sí",1563.67,"río",929.2,992.96,79
"Loja","farmacéutica","sí","sí",2563.51,"red municipal y pozo",1039,1176.39,81
"Ambato","textil","sí","no",NA,"pozo y río",977.2,840.75,77
"Quito","procesamiento de alimentos","no","no",NA,"río",766.2,719.19,84
"Ambato","textil","no","sí",1926.19,"red municipal y pozo",472.1,412.55,72
"Manta","plásticos","sí","no",NA,"pozo",1034.3,708.93,82
"Guayaquil","química","sí","sí",910.9,"red municipal y pozo",771.4,730.2,79
"Quito","farmacéutica","no","sí",1712.26,"red municipal y pozo",576.1,576.88,70
"Loja","farmacéutica","sí","no",NA,"red municipal",832.7,817.01,81
"Manta","textil","sí","no",NA,"red municipal y pozo y río",770.3,562.6,79
"Ambato","procesamiento de alimentos","sí","sí",1717.31,"red municipal y pozo",672.9,598.06,81
"Ambato","procesamiento de alimentos","sí","sí",2220.39,"red municipal",452.6,483.49,75
"Manta","procesamiento de alimentos","sí","sí",1990.12,"red municipal y río",1027.2,890.66,77
"Loja","química","sí","no",NA,"red municipal",587.2,652.18,79
"Loja","procesamiento de alimentos","sí","sí",1252.56,"red municipal",931.7,933.93,82
"Manta","metalmecánica","sí","sí",1688.36,"red municipal y pozo",961.1,765.07,92
"Guayaquil","metalmecánica","sí","sí",1736.85,"red municipal y pozo y río",910.6,645.38,85
"Quito","procesamiento de alimentos","sí","no",NA,"pozo",811.4,867.14,85
"Manta","procesamiento de alimentos","sí","no",NA,"red municipal y río",892.9,762.29,87
"Loja","farmacéutica","sí","sí",2172.13,"pozo",687.9,749.17,87
"Loja","plásticos","no","no",NA,"red municipal y pozo",704.3,600.73,86
"Ambato","metalmecánica","sí","sí",1227.13,"red municipal y pozo",863.5,941.09,86
"Manta","química","sí","no",NA,"pozo",999.3,722.75,91
"Loja","química","sí","sí",1605.01,"red municipal",649.5,722.28,77
"Loja","procesamiento de alimentos","no","no",NA,"río",717.3,709.49,69
"Manta","metalmecánica","sí","no",NA,"pozo",823,696.54,87
"Loja","farmacéutica","sí","no",NA,"pozo y río",1038.1,1103.01,99
"Cuenca","plásticos","sí","sí",1092.47,"red municipal",835.1,921.2,80
"Guayaquil","química","sí","no",NA,"red municipal y río",810.3,690.68,74
"Cuenca","química","sí","sí",1302.02,"red municipal",1032.8,1108.33,83
"Guayaquil","plásticos","sí","sí",583.39,"pozo",859.1,684.3,87
"Loja","procesamiento de alimentos","no","sí",1707.61,"red municipal",752,642.85,78
"Loja","farmacéutica","sí","sí",952.17,"pozo y río",991.7,865.52,91
"Ambato","farmacéutica","no","sí",1856.54,"pozo y río",709.2,684.81,75
"Quito","metalmecánica","sí","no",NA,"río",866.2,955.2,84
"Cuenca","textil","no","sí",1585.57,"red municipal y pozo y río",641.6,663.01,79
"Quito","plásticos","sí","no",NA,"pozo y río",662.7,615.79,97
"Manta","procesamiento de alimentos","sí","no",NA,"red municipal y pozo",899.8,637.78,68
"Ambato","química","sí","sí",1619.76,"red municipal",876.6,893.42,79
"Cuenca","metalmecánica","sí","sí",762.85,"pozo y río",733,794.45,88
"Cuenca","metalmecánica","sí","no",NA,"red municipal y pozo",837.7,808.49,81
"Manta","plásticos","sí","sí",2007.93,"red municipal",1078.8,711.77,89
"Guayaquil","química","no","sí",972.17,"pozo",601.7,519.26,76
"Ambato","química","sí","sí",2889.09381166545,"red municipal",1585.32336837184,1550.72922337373,245
"Loja","metalmecánica","sí","no",NA,"pozo",749.3,736.81,100
"Guayaquil","farmacéutica","no","sí",2420.76,"red municipal",708,591.09,93
